Product Name,Price
Kuldra Pineapple Spike Handbag Kenya - Ash,"7,000.00"
Kuldra Pineapple Spike Handbag South Africa - Ash,"7,000.00"
Kuldra Pineapple Spike Handbag South Africa - Maroon,"7,000.00"
Kuldra Pineapple Spike Handbag South Africa - Blue,"7,000.00"
Eden Leather Nairobi Tote Bag - Tan,"4,000.00"
Eden Leather Laptop Sleeve - Mocca,"5,800.00"
Crafts with Meaning Canvas with Kikoi Tote Bag with Pouch - Purple,"5,000.00"
Eden Leather Executive Notebook Cover - Printed Mocca,"4,500.00"
Eden Leather Acacia Cross Body - Mocca,"5,500.00"
Ranks leather Back Pack - Black,"2,100.00"
Zanna Leathers Zawadi Handbag - Black,"8,000.00"
Zanna Leathers Diplomat Laptop Bag - Brown,"18,000.00"
Zanna Leathers Sifa Mini - Black Buffed,"8,000.00"
Zanna Leathers Zuri Tote - Blue,"13,000.00"
Zanna Leather Imara Handbag - Mocha Buffed,"14,000.00"
